ZIP_CODE,Fatal (< 3 killed),Fatal (>= 3 killed),Injury (< 3 injured),Injury (>= 3 injured),Property Damage Only
07002,0,0,0,0,1
07024,0,0,8,5,97
07206,0,0,5,2,10
10000,0,0,140,23,351
10001,14,0,2002,175,11657
10002,23,1,3100,572,11257
10003,11,0,2042,232,7678
10004,2,0,297,69,2043
10005,1,0,262,20,1551
10006,0,0,187,27,1126
10007,2,0,668,90,3131
10008,0,0,1,1,12
10009,10,0,1509,277,5020
10010,7,0,1743,291,6394
10011,14,0,1481,181,8195
10012,4,0,1329,143,5819
10013,13,0,1739,271,11262
10014,1,1,970,149,5818
10016,11,0,2763,347,11776
10017,8,0,1480,215,7119
10018,9,0,1240,148,9129
10019,11,0,2272,264,12113
10020,0,0,77,6,501
10021,11,1,838,83,4814
10022,14,0,2294,306,12051
10023,13,0,1301,158,6145
10024,8,0,1035,159,5502
10025,18,0,1412,199,6643
10026,8,0,1096,197,3169
10027,10,0,2233,449,7778
10028,7,0,726,88,3498
10029,22,1,2461,459,9524
10030,1,0,1237,314,4373
10031,8,0,1352,309,5411
10032,12,1,1729,430,7250
10033,10,2,1375,271,6305
10034,4,1,1204,386,5351
10035,18,0,2634,824,11479
10036,14,0,1976,238,11918
10037,9,0,912,202,3350
10038,3,0,658,136,3585
10039,6,0,724,205,2791
10040,10,0,879,277,3884
10041,0,0,18,11,85
10044,0,0,215,78,1077
10045,0,0,0,1,8
10048,0,0,1,0,33
10055,0,0,1,0,2
10062,0,0,6,1,14
10065,4,1,1184,131,7574
10069,2,0,124,62,470
10075,8,0,473,42,2440
10103,0,0,3,0,8
10104,0,0,7,0,32
10105,1,0,4,2,21
10106,0,0,2,0,3
10107,1,0,9,1,34
10110,0,0,3,0,15
10111,0,0,20,4,92
10112,0,0,12,1,31
10115,5,0,150,82,570
10118,0,0,18,1,97
10119,0,0,57,6,277
10120,0,0,7,0,15
10121,0,0,10,0,86
10122,0,0,3,0,5
10123,0,0,5,0,23
10128,15,0,1039,136,5303
10129,1,0,98,41,439
10151,0,0,0,0,5
10152,0,0,3,0,29
10153,0,0,8,1,30
10154,0,0,14,0,55
10155,0,0,100,44,481
10158,1,0,98,60,427
10162,1,0,318,156,1517
10165,0,0,8,0,53
10166,0,0,0,0,1
10167,0,0,0,1,6
10168,0,0,19,5,112
10169,0,0,12,3,45
10170,0,0,4,0,9
10171,0,0,0,0,6
10172,0,0,15,2,87
10173,0,0,0,0,5
10174,0,0,2,0,7
10176,0,0,2,0,1
10177,0,0,0,1,11
10178,0,0,4,0,8
10179,0,0,1,0,3
10199,1,0,4,3,35
10205,4,1,125,55,560
10271,0,0,9,1,16
10275,0,0,5,3,65
10278,0,0,14,2,68
10279,0,0,11,0,68
10280,2,0,44,8,244
10281,1,0,31,2,181
10282,0,0,44,6,280
10301,8,0,1278,352,5687
10302,3,0,595,168,2177
10303,4,0,844,253,3320
10304,13,1,1509,463,6735
10305,18,0,1376,433,6058
10306,21,0,1780,559,7423
10307,6,0,201,44,1191
10308,6,0,532,164,2260
10309,10,2,804,267,3982
10310,6,0,873,301,3646
10311,4,0,167,58,682
10312,17,1,1411,474,6397
10314,18,3,2406,831,10465
10451,24,0,2584,733,8839
10452,20,0,2252,711,8607
10453,15,1,2786,988,9193
10454,23,0,2427,854,10082
10455,13,1,1843,487,5588
10456,4,1,2327,553,7196
10457,13,2,2865,943,10406
10458,18,0,2482,666,9121
10459,15,1,2035,600,6934
10460,26,0,2573,992,10191
10461,22,1,2214,673,8756
10462,16,1,1826,501,7370
10463,25,0,1968,610,8404
10464,1,0,171,94,672
10465,20,1,1442,547,6265
10466,14,0,2301,836,8708
10467,29,0,3031,1002,11965
10468,10,2,2591,696,7990
10469,11,1,2225,932,7390
10470,11,1,930,420,3814
10471,6,0,596,195,2540
10472,31,3,2346,771,9468
10473,14,0,1419,522,6421
10474,15,1,904,243,4835
10475,15,0,1330,480,5548
10550,0,0,1,0,0
10704,0,0,1,0,1
10705,1,0,32,16,113
10803,0,0,4,2,22
11001,0,0,122,35,513
11003,0,0,1,1,3
11004,9,0,515,193,2306
11005,1,0,102,48,489
11020,1,0,68,35,353
11021,0,0,0,0,1
11040,1,0,72,32,461
11096,0,0,0,0,1
11101,23,2,4251,956,17837
11102,4,0,971,190,4187
11103,6,1,1419,298,5023
11104,5,0,1146,292,3609
11105,12,1,1113,272,4484
11106,12,0,1473,275,4573
11109,0,0,79,22,621
11201,13,0,2807,488,14106
11203,20,0,4322,1785,12775
11204,13,1,2353,481,7624
11205,10,0,2290,559,8132
11206,33,0,3786,674,11205
11207,43,1,6327,2479,21923
11208,22,1,4274,1596,15292
11209,18,1,1939,526,7875
11210,7,0,2471,869,7905
11211,19,0,3527,689,12201
11212,19,0,3846,1361,11889
11213,20,0,3281,951,9915
11214,26,0,2495,556,9754
11215,9,1,2261,453,9123
11216,21,1,2639,663,8535
11217,9,0,2185,390,8710
11218,22,0,2279,478,7683
11219,12,0,2307,346,7633
11220,29,0,3358,739,12377
11221,14,0,3264,731,9629
11222,16,0,1821,373,9719
11223,17,0,2449,499,8199
11224,7,0,1345,351,5308
11225,8,0,2262,673,7043
11226,21,0,4293,1099,11528
11227,0,0,23,13,107
11228,13,0,1208,336,4427
11229,29,1,2565,657,7778
11230,24,0,2695,620,9335
11231,9,0,1316,393,7675
11232,13,0,1721,432,6447
11233,23,0,3239,1035,11165
11234,37,3,3528,1334,14078
11235,33,0,2823,655,10706
11236,49,1,4248,1972,14412
11237,13,0,2042,393,7815
11238,7,0,2366,547,7229
11239,13,1,1029,487,3850
11241,0,0,0,0,1
11242,2,0,324,130,1684
11249,5,0,1421,367,5974
11251,0,0,284,130,1519
11252,7,0,523,323,2489
11354,32,2,2694,609,12094
11355,21,0,2576,565,10600
11356,5,0,579,149,4044
11357,8,0,1093,408,5106
11358,6,0,1100,291,5029
11359,1,0,125,66,657
11360,2,0,362,112,1748
11361,6,0,1004,264,6039
11362,4,1,883,378,5061
11363,0,0,284,81,1724
11364,20,1,1280,464,6481
11365,12,2,1094,343,5042
11366,3,0,516,168,2199
11367,14,0,1423,570,6500
11368,33,1,4016,1059,14228
11369,13,0,1331,445,5256
11370,8,0,1113,325,4456
11371,4,0,206,97,682
11372,20,0,2288,376,7566
11373,18,1,2489,457,10237
11374,11,0,1226,332,5505
11375,10,0,2033,615,8754
11377,21,0,3126,764,10421
11378,20,1,1834,562,8328
11379,13,0,1026,244,4059
11385,22,0,3324,778,13360
11411,9,1,1180,568,3757
11412,9,0,1573,673,5166
11413,12,3,2199,1034,8353
11414,9,0,1045,437,4119
11415,5,0,1106,434,5430
11416,5,0,853,304,3441
11417,9,1,1367,463,5254
11418,5,0,1165,321,5310
11419,19,0,1651,490,6419
11420,22,2,2463,1042,9298
11421,13,1,1207,422,4663
11422,14,1,2006,1006,7661
11423,7,2,1417,523,5171
11425,0,0,8,3,16
11426,5,0,862,313,3562
11427,7,0,959,327,3864
11428,5,0,638,186,2499
11429,10,0,1305,511,4442
11430,1,1,90,48,339
11432,13,1,2698,715,9585
11433,9,0,1755,559,5874
11434,34,2,3351,1467,14001
11435,17,0,2696,845,10206
11436,16,1,1339,632,5189
11439,0,0,2,1,17
11516,0,0,2,2,17
11580,0,0,8,1,27
11581,0,0,0,0,1
11582,0,0,0,1,0
11691,15,1,1472,418,6256
11692,2,0,372,130,1560
11693,7,0,397,129,1569
11694,4,0,391,97,1620
11695,0,0,1,1,7
11697,3,0,159,64,639
12235,1,0,314,149,1047
12692,0,0,10,3,18
